subj,ROI,R2
1,V1,0.0180216348845584
1,V1,0.00771951329501636
1,V1,0.0170004512156335
1,V1,0.0400216741178578
1,V1,0.0193923151126646
1,V1,-0.000982082636199144
1,V1,0.0115565315844949
1,V1,0.00821497897431112
1,V1,-0.000723452182649242
1,V1,-0.000149515357708019
1,V1,-0.000819942684183728
1,V1,-0.000642957105584652
1,V1,0.000230444748238134
1,V1,0.000235326762957178
1,V1,-0.00121249354178132
1,V1,-0.000850773150126494
1,V1,0.0010099239863407
1,V1,8.57167299521122e-05
1,V1,-0.000676596664422879
1,V1,-0.000986372001680058
1,V1,0.0219054576047986
1,V1,0.00880929850552381
1,V1,0.0132768066436729
1,V1,0.00171825378183638
1,V1,0.0322046527000314
1,V1,0.0236913552219334
1,V1,0.0102784783740348
1,V1,0.00852126820865573
1,V1,0.00955395008946286
1,V1,0.060092044830886
1,V1,0.0701865173708307
1,V1,0.0446847348863053
1,V1,0.0418429023391201
1,V1,0.119828156428678
1,V1,3.99652451620325e-05
1,V1,0.00210418271378138
1,V1,-0.000446982761406423
1,V1,0.0283109995368135
1,V1,0.0213195690141364
1,V1,0.0425214366118474
1,V1,0.0759601506963509
1,V1,0.00838582936151544
1,V1,0.00179976454135833
1,V1,0.000269465439406924
1,V1,0.020567895496014
1,V1,0.0406169937332351
1,V1,0.0408579709067459
1,V1,0.013317497732019
1,V1,0.0500088136268146
1,V1,0.0312843309713471
1,V1,0.0461734638182557
1,V1,0.10630592337176
1,V1,0.00637943666920937
1,V1,-0.000490235353673596
1,V1,0.097321503169691
1,V1,0.124295869549785
1,V1,0.0283546474966231
1,V1,0.0516155131548595
1,V1,0.120476944121165
1,V1,0.000621898345731398
1,V1,-0.000747636360429293
1,V1,0.0286141431896044
1,V1,0.105205729928929
1,V1,0.021783888076331
1,V1,0.0252055764427511
1,V1,0.0263301211294024
1,V1,0.038453349267758
1,V1,0.00946669211502232
1,V1,0.0197931842660135
1,V1,0.0471577213753893
1,V1,0.113778412637385
1,V1,0.014404855034939
1,V1,-0.000327893866329809
1,V1,0.0431350003189354
1,V1,0.0933249257507872
1,V1,0.0609198780269801
1,V1,0.0206639346479069
1,V1,0.0821358437918361
1,V1,0.0236335644741361
1,V1,0.00205315115611587
1,V1,0.103220234622077
1,V1,0.138761454050668
1,V1,0.0433327573911574
1,V1,0.0619856498789402
1,V1,0.00989855880419782
1,V1,0.0248080553359595
1,V1,0.127763764760024
1,V1,0.00383293913840543
1,V1,-0.00128582866643501
1,V1,0.126347100814666
1,V1,0.168780321651821
1,V1,0.056576842265729
1,V1,-0.000899315579846127
1,V1,0.0375061139184491
1,V1,0.0378130483480624
1,V1,0.0066469586864038
1,V1,0.00624436427480923
1,V1,0.0271136178942813
1,V1,0.0413643093584911
1,V1,0.0749062128730678
1,V1,0.141894715258757
1,V1,0.042708150781563
1,V1,0.0314763797287665
1,V1,0.0757275578382163
1,V1,0.070535101140104
1,V1,0.0791850968116491
1,V1,0.105604995086216
1,V1,0.179085780912386
1,V1,0.0178729622468781
1,V1,0.0096363000810058
1,V1,0.00770904309624532
1,V1,0.0860063836580172
1,V1,0.0930590034492873
1,V1,0.00153897175020651
1,V1,0.0815203298183611
1,V1,0.0127967466364091
1,V1,0.0855634251398074
1,V1,0.0752768736547241
1,V1,0.0405216028962521
1,V1,-0.0018484199269565
1,V1,0.124651381702421
1,V1,0.0679856525798864
1,V1,0.00358430302476015
1,V1,0.00487206160174514
1,V1,0.0139854311696769
1,V1,0.0525576511946081
1,V1,0.0420127180048558
1,V1,0.0856904323543141
1,V1,0.0424702408715278
1,V1,0.0456411156478415
1,V1,0.0155026816080136
1,V1,0.0060837973331383
1,V1,-0.000171137044447711
1,V1,0.160868854709391
1,V1,0.144513554217876
1,V1,0.0210058603975816
1,V1,0.0427763968708081
1,V1,0.0550192307613286
1,V1,0.00276621136721028
1,V1,0.0556776284109579
1,V1,0.00127125805583383
1,V1,-0.000169662819705096
1,V1,0.0377631869281405
1,V1,-0.000558354177933817
1,V1,0.0591804305614076
1,V1,0.0814331747039859
1,V1,0.092744912605061
1,V1,0.122880995535333
1,V1,0.162896066401806
1,V1,0.0121833504243008
1,V1,0.0414076597580955
1,V1,-0.000116535658375605
1,V1,0.058148596948921
1,V1,0.0612343474347038
1,V1,0.22552626452529
1,V1,0.175136480687773
1,V1,0.186314093406251
1,V1,0.147647540209713
1,V1,0.0145947046770349
1,V1,0.0966712459308838
1,V1,0.124341261519031
1,V1,0.0138678507484873
1,V1,0.184969919457408
1,V1,0.189356198929951
1,V1,0.0744711939614115
1,V1,0.00565467828659288
1,V1,0.0305900671085153
1,V1,0.0197745698376027
1,V1,0.142923975358269
1,V1,0.0712337255561857
1,V1,-0.000514186139381034
1,V1,0.00705334384838874
1,V1,0.0421578497810992
1,V1,0.0328889369720963
1,V1,0.000822709158204815
1,V1,0.000124021434438959
1,V1,0.114359518564719
1,V1,0.0835857381042042
1,V1,0.0306542046196737
1,V1,0.00721575233646965
1,V1,0.00504147047653242
1,V1,0.0547312741236475
1,V1,0.0226311031641875
1,V1,0.00731539619707355
1,V1,0.0916551879765434
1,V1,0.0555336649592108
1,V1,0.239256011733901
1,V1,0.0160436900124068
1,V1,0.0147645451085136
1,V1,0.0120221693779657
1,V1,0.0916080578285742
1,V1,0.0136265453031088
1,V1,0.150286036553071
1,V1,0.151436845153134
1,V1,0.12942913625154
1,V1,0.121749769280332
1,V1,0.143688828403465
1,V1,0.212675628996047
1,V1,0.0474679207035468
1,V1,0.18860101964344
1,V1,0.0209387372572345
1,V1,0.0194425017191922
1,V1,0.0139245629213688
1,V1,-0.0011405137799938
1,V1,-0.000375978842498181
1,V1,0.0158581154401288
1,V1,0.0703178919495423
1,V1,0.0230972291866728
1,V1,0.0284908378509813
1,V1,0.0575500074693623
1,V1,0.0226082212930203
1,V1,0.0715742243441526
1,V1,0.037698087737101
1,V1,0.0474433686137863
1,V1,0.199465510072693
1,V1,0.229465468832265
1,V1,0.00186123535655919
1,V1,0.134006211680358
1,V1,0.0360422377227235
1,V1,0.122081464503347
1,V1,0.213643924431579
1,V1,0.0167529845856787
1,V1,0.0110259619875906
1,V1,0.00823741024137159
1,V1,0.00564302330718575
1,V1,0.00892875089386791
1,V1,0.078584240738253
1,V1,0.131898967392176
1,V1,0.0201533806653245
1,V1,0.20932784413919
1,V1,0.126701286186125
1,V1,0.00795425499859614
1,V1,0.0724452512399266
1,V1,0.0560963226955619
1,V1,0.0384131693038193
1,V1,0.00213540544412799
1,V1,0.0047656356816434
1,V1,0.00116056734608622
1,V1,0.00054807790250222
1,V1,0.100159418956635
1,V1,0.128874090636255
1,V1,0.0282922862560772
1,V1,0.176311168997463
1,V1,0.0284001955212673
1,V1,0.0336699278230968
1,V1,0.0547405401703736
1,V1,0.024965961065541
1,V1,0.0155261363507954
1,V1,0.00938566308060806
1,V1,0.0798334122450615
1,V1,0.0440556283792664
1,V1,0.0152993487018794
1,V1,0.0332280253198953
1,V1,0.0147320895353425
1,V1,-9.01168830514942e-05
1,V1,0.018561835329311
1,V1,0.00549755277125863
1,V1,0.136867814681649
1,V1,0.0200338658398855
1,V1,0.000167490067359222
1,V1,0.024977881112332
1,V1,0.0155431871471572
1,V1,0.125951272603019
1,V1,0.148434765216845
1,V1,0.114608089845229
1,V1,0.116559538805999
1,V1,0.0111905214477331
1,V1,0.192905687804298
1,V1,0.156630378941641
1,V1,0.0293559225913314
1,V1,0.159294300150197
1,V1,-0.000343667871162467
1,V1,-0.00129200942055929
1,V1,0.129625695066354
1,V1,0.0784146018908404
1,V1,0.0827529761478136
1,V1,0.0543071899958943
1,V1,0.0241181739042159
1,V1,0.06177808497677
1,V1,0.0631319592670563
1,V1,0.0572015439755556
1,V1,0.0178533439710442
1,V1,0.196750981896588
1,V1,0.196395787433093
1,V1,0.0094628754533016
1,V1,0.219605174513908
1,V1,0.077915545854926
1,V1,0.031170986415377
1,V1,0.0341489766552849
1,V1,0.038506902168064
1,V1,0.197630202390263
1,V1,0.230371487057802
1,V1,0.0305675901544212
1,V1,0.00293480947259372
1,V1,0.00763141695991898
1,V1,0.000173016602547871
1,V1,0.223067245737703
1,V1,0.188391745213362
1,V1,0.0421632822955672
1,V1,0.0030873576556763
1,V1,0.0618219517572637
1,V1,0.0529019909199871
1,V1,0.140141891306226
1,V1,0.216775797514417
1,V1,0.176561030415392
1,V1,0.0542900662380938
1,V1,0.0103172399896598
1,V1,0.0719203920905844
1,V1,0.0587765959036823
1,V1,0.0547034416012356
1,V1,0.00689192702592833
1,V1,0.00064743341546869
1,V1,0.0427215941385082
1,V1,0.164522850595559
1,V1,0.111571744248736
1,V1,0.000131264753157612
1,V1,0.0125985841462321
1,V1,0.118339936557167
1,V1,0.167039494251705
1,V1,0.0813711093048982
1,V1,0.0749283473927966
1,V1,0.0114492524468005
1,V1,0.0882794720559345
1,V1,0.0799348339971216
1,V1,0.00674520600169404
1,V1,0.0457630688388298
1,V1,0.173680065614596
1,V1,0.14204688696133
1,V1,0.01615044731244
1,V1,0.0150623362110939
1,V1,0.0235897733433749
1,V1,0.0249169739870772
1,V1,0.0600443062988669
1,V1,0.013715170529719
1,V1,0.0789259628125851
1,V1,0.052732284121748
1,V1,0.0804931663687949
1,V1,0.0138783681180098
1,V1,0.00748150789352553
1,V1,-0.000273278291208046
1,V1,0.119709997245952
1,V1,0.121383035607567
1,V1,0.148290592497756
1,V1,-8.22956516786655e-05
1,V1,0.131679759161381
1,V1,0.102746496895111
1,V1,0.0687001653649965
1,V1,0.0110114653269812
1,V1,0.181441203899479
1,V1,0.0935181524127529
1,V1,0.0235377199641971
1,V1,0.0196650728680864
1,V1,0.00137616393711515
1,V1,-0.000662705847635503
1,V1,0.141971139799355
1,V1,0.017940338934854
1,V1,0.0871126464175621
1,V1,0.10012176112712
1,V1,0.00801743901742685
1,V1,0.0365089730993514
1,V1,0.120375723949485
1,V1,0.18702270357197
1,V1,0.00719497948529446
1,V1,0.239662703563009
1,V1,0.248131893750712
1,V1,0.213137104498275
1,V1,0.139163463785675
1,V1,0.1096207512005
1,V1,0.0903322517260506
1,V1,0.227644578291942
1,V1,0.219321348440903
1,V1,0.0979789621741808
1,V1,0.083423105666332
1,V1,0.0898786923718453
1,V1,0.0555154232397025
1,V1,0.00875132629452768
1,V1,0.138034670544714
1,V1,0.0618901397719532
1,V1,0.0730965663904116
1,V1,0.1725610850344
1,V1,0.134704506125252
1,V1,0.119943679166954
1,V1,0.0409283808677471
1,V1,0.0863376110548735
1,V1,0.219750602256682
1,V1,0.130512234000795
1,V1,0.0178249647315645
1,V1,0.00127234980516638
1,V1,0.0935472946851776
1,V1,0.00595881203922088
1,V1,0.00515446617478005
1,V1,0.138545459312681
1,V1,0.0279176915366475
1,V1,0.041009995158614
1,V1,0.0823260714049567
1,V1,0.0868514799310706
1,V1,0.0981027948628601
1,V1,0.0511143113239062
1,V1,0.254621067477271
1,V1,0.0655065115150549
1,V1,0.00192519513133116
1,V1,0.00449269908807554
1,V1,0.153348134650085
1,V1,0.176584631606644
1,V1,0.0422798357508289
1,V1,0.0746540282469023
1,V1,0.11100792582695
1,V1,0.0205326461215455
1,V1,0.0225640013926711
1,V1,0.0605588460898123
1,V1,0.0888813675636018
1,V1,0.0148166747591164
1,V1,0.0363985237365471
1,V1,0.00124253982337064
1,V1,0.00449690482654203
1,V1,0.00197344956572792
1,V1,0.00116290294725258
1,V1,0.0551495896778401
1,V1,0.0179310815097064
1,V1,0.0078629875189839
1,V1,0.192084737673544
1,V1,-3.67881992456853e-05
1,V1,0.161690599988287
1,V1,0.147836303897242
1,V1,0.107303370604902
1,V1,0.000232931736071751
1,V1,0.17008960904546
1,V1,0.0799814219084447
1,V1,0.0667862997086045
1,V1,0.143812597374462
1,V1,0.125696297272376
1,V1,0.159094713325155
1,V1,0.0100408654374798
1,V1,0.0108821304045797
1,V1,-0.000134618779803808
1,V1,0.00041314472519155
1,V1,0.00410190000280225
1,V1,0.0925172669610936
1,V1,0.0733061044947318
1,V1,0.0499109080638167
1,V1,-0.000433734406093844
1,V1,0.0719196290016849
1,V1,0.0496292503992331
1,V1,0.0324094356712743
1,V1,0.163481829585467
1,V1,0.0758392309575499
1,V1,0.183212707891309
1,V1,0.0427425052693595
1,V1,0.0791872729190223
1,V1,0.00767839248800684
1,V1,0.0727421142768306
1,V1,0.0515434035293024
1,V1,0.181507190675364
1,V1,0.0245981354951837
1,V1,0.0343857772661784
1,V1,0.063996753044817
1,V1,0.030924621716906
1,V1,0.0503430437495243
1,V1,0.00798441350564094
1,V1,0.161327106373476
1,V1,0.121507536067728
1,V1,0.0819453288141938
1,V1,0.0115937159505032
1,V1,0.0688902128530799
1,V1,0.0206018637556316
1,V1,0.0419416425060434
1,V1,0.0160597848612955
1,V1,0.148224386272403
1,V1,0.041867147418534
1,V1,0.040834528330083
1,V1,0.000145477537601191
1,V1,0.00269117323170603
1,V1,0.154438167662128
1,V1,0.198282091661569
1,V1,0.171150460314783
1,V1,0.00755306498481312
1,V1,0.0237089344526348
1,V1,0.0117090010453764
1,V1,0.0033628271381369
1,V1,0.000290893298895312
1,V1,0.150491278136438
1,V1,0.00122576220393422
1,V1,0.00198326549092703
1,V1,0.0501038247407835
1,V1,0.100481648920425
1,V1,0.0165373309361659
1,V1,-0.000224351820908186
1,V1,-0.000683000109681364
1,V1,0.123577825821125
1,V1,0.10252936695857
1,V1,0.00941356104027463
1,V1,0.148775597789722
1,V1,0.033904845643663
1,V1,0.1115478940967
1,V1,0.135068228426317
1,V1,0.143633122927443
1,V1,0.134455053892533
1,V1,0.153458545787056
1,V1,0.131624360741927
1,V1,0.000137405371750943
1,V1,0.103250805860236
1,V1,0.144663738091276
1,V1,0.114834377502662
1,V1,-0.000571504264260003
1,V1,0.0175131670604164
1,V1,0.149947762306315
1,V1,0.149970776697231
1,V1,-0.000619830918103914
1,V1,0.00192954790201294
1,V1,-3.24811966323502e-06
1,V1,0.0267869907811057
1,V1,0.0265504828396333
1,V1,0.06164149689787
1,V1,0.0458678551813015
1,V1,0.0189794128335701
1,V1,0.0379883422758401
1,V1,0.00878463763153942
1,V1,0.0219845965173389
1,V1,0.08886395567119
1,V1,0.103994823363609
1,V1,0.139094533537408
1,V1,0.00255262540647083
1,V1,0.0535418815664069
1,V1,0.0647081774065339
1,V1,0.0143878143168547
1,V1,0.0191242237921823
1,V1,-0.000623051487549486
1,V1,0.00726183760814314
1,V1,0.111745006402794
1,V1,0.0549482766064711
1,V1,0.019658603191217
1,V1,0.00447177872575288
1,V1,4.90200683754827e-05
1,V1,0.00734829984379709
1,V1,0.00153986484031521
1,V1,0.00214574153552732
1,V1,0.0945529380425217
1,V1,0.0114853900978089
1,V1,0.230957661221263
1,V1,0.178498676955465
1,V1,0.0889035110009464
1,V1,0.0146922293621584
1,V1,0.0979090750546067
1,V1,0.0643464433375331
1,V1,0.0406413959463591
1,V1,0.00580879575513094
1,V1,1.17856719229481e-05
1,V1,-6.47942987145322e-05
1,V1,0.000710756689789704
1,V1,0.121846042932826
1,V1,0.0986432758909594
1,V1,0.123140763548883
1,V1,0.131738839613219
1,V1,0.125719100512032
1,V1,0.0323590915948719
1,V1,0.0979788756796918
1,V1,0.115564271468386
1,V1,0.124136619260244
1,V1,-0.000422825437264351
1,V1,-0.000917763905504243
1,V1,0.0447997040231546
1,V1,0.0278993023293952
1,V1,0.0409867701556956
1,V1,0.0205177046364013
1,V1,0.0235109107313287
1,V1,0.0547331433430409
1,V1,-0.000736794132973451
1,V1,-0.000622388135905094
1,V1,0.0379613525239082
1,V1,0.0233078501043941
1,V1,0.0297792250845285
1,V1,0.0684332286612334
1,V1,0.090792925716752
1,V1,0.00210287452606372
1,V1,0.00148686767386125
1,V1,0.000127392094706691
1,V1,0.0336289882466881
1,V1,0.0994979771122124
1,V1,0.0831231478922311
1,V1,0.0245723264896394
1,V1,0.0494397497519715
1,V1,0.0235250924558508
1,V1,-0.00175456214229353
1,V1,0.0366797544624706
1,V1,0.110619463373879
1,V1,0.134799547390092
1,V1,0.121201608134462
1,V1,0.0127320071726722
1,V1,-0.000101814902547459
1,V1,0.105600621497788
1,V1,0.073523879737015
1,V1,-0.000472091573591293
1,V1,-0.000737522766708354
1,V1,-0.000737342210646696
1,V1,0.0069076118184675
1,V1,0.0240253526450041
1,V1,0.0217248631609661
1,V1,0.0645236763927983
1,V1,0.104166167024079
1,V1,0.0118712419273514
1,V1,0.0111013268504399
1,V1,0.00273219100259292
1,V1,0.059375648002234
1,V1,0.0191210988486744
1,V1,0.00117191426917895
1,V1,0.0694543747253115
1,V1,0.0444838334046963
1,V1,0.154612376974609
1,V1,0.000242339419321891
1,V1,0.0309244589477718
1,V1,0.014084167784208
1,V1,0.00150022671160782
1,V1,0.076630385313145
1,V1,0.0197248732545958
1,V1,0.00462009399050417
1,V1,0.00241758150500831
1,V1,0.0595034125905877
1,V1,0.0305258694989819
1,V1,0.0815548553571686
1,V1,0.174138900145433
1,V1,0.0209926590820116
1,V1,0.0706009078593882
1,V1,0.125718424946228
1,V1,0.145886607405401
1,V1,0.0183615519922967
1,V1,0.0397655553272135
1,V1,0.00293915883698853
1,V1,0.0263864555921856
1,V1,0.0508553995596362
1,V1,0.113243409109429
1,V1,0.114617828858704
1,V1,0.013852086349887
1,V1,0.0101655527239494
1,V1,0.0298569677141232
1,V1,0.0232194295656489
1,V1,0.0189097273722708
1,V1,0.0470439155534713
1,V1,0.0808426520394679
1,V1,0.141591045587131
1,V1,0.00600779800017481
1,V1,0.0329012371999333
1,V1,0.0844706849399917
1,V1,0.0948168118559774
1,V1,0.199690659181246
1,V1,0.104648369587986
1,V1,0.122248757651561
1,V1,0.0319864121697724
1,V1,0.0214610278965296
1,V1,0.00299271246293192
1,V1,0.0509321228953779
1,V1,0.0885008311062254
1,V1,0.122303749618625
1,V1,0.0602441968136804
1,V1,0.0405044715444047
1,V1,0.00936814248037249
1,V1,0.159031930115644
1,V1,0.140890345080279
1,V1,0.11377967207343
1,V1,0.0576450553677145
1,V1,0.181906596169699
1,V1,0.179268338901807
1,V1,0.090842072791163
1,V1,0.0854365781615956
1,V1,0.0555602031834089
1,V1,0.0498879142031014
1,V1,0.00238932655563662
1,V1,0.0148329752075507
1,V1,0.031585415537397
1,V1,0.0199187947966661
1,V1,0.0485525022123523
1,V1,0.0920287159151654
1,V1,0.106979719520859
1,V1,0.0506918858926643
1,V1,0.0726375477296182
1,V1,0.0625004655760798
1,V1,0.000628002242173464
1,V1,0.00818638237512898
1,V1,0.0445956488720835
1,V1,0.0518947335401683
1,V1,0.048470060550024
1,V1,0.0438000218938631
1,V1,0.0390886725500245
1,V1,0.0556844336991085
1,V1,0.0492382088732891
1,V1,0.0518069673780627
1,V1,0.0398018528757082
1,V1,0.0069824387838831
1,V1,0.002572252192861
1,V1,0.00139570622947338
1,V1,0.055424974209087
1,V1,0.0692844134851884
1,V1,0.112830269848665
1,V1,0.105445038992879
1,V1,0.0998213971073184
1,V1,0.0910278170089837
1,V1,0.0373284030344075
1,V1,0.0405918502621197
1,V1,0.0190432939324195
1,V1,0.000389005941825893
1,V1,0.0881376144873257
1,V1,0.0659878786609081
1,V1,0.0922870376340763
1,V1,0.0706254635330272
1,V1,0.0474560080720031
1,V1,0.145828575241389
1,V1,0.168655182531381
1,V1,0.0381984310944775
1,V1,0.0496980500404628
1,V1,0.0334626540993422
1,V1,0.00341250580373381
1,V1,0.0032035253819882
1,V1,0.113471858011729
1,V1,0.107408426020673
1,V1,0.0611720856942742
1,V1,0.0919924380021665
1,V1,0.0905141100891357
1,V1,0.101958963538677
1,V1,0.161147377741328
1,V1,0.0594693760789494
1,V1,0.0436207866087537
1,V1,0.00703903362957137
1,V1,0.00260657363088929
1,V1,0.0571241404301421
1,V1,0.116772341174498
1,V1,0.0924553713714523
1,V1,0.0282753626799553
1,V1,0.0944005157643014
1,V1,0.0749410621107913
1,V1,0.0728421974792066
1,V1,0.0690946717854154
1,V1,0.110535599029286
1,V1,0.0239394767209544
1,V1,0.182702512638841
1,V1,0.0713213913232499
1,V1,0.0928324675957241
1,V1,0.00173447061177934
1,V1,0.0459327083872957
1,V1,0.062398066363562
1,V1,0.080279415742778
1,V1,0.0659403966327537
1,V1,-478.968431996581
1,V1,0.0882481183904091
1,V1,0.0733935183165037
1,V1,0.0100691822971661
1,V1,0.00094524600036211
1,V1,0.00627455720623843
1,V1,0.024712505450678
1,V1,0.0339654116327283
1,V1,0.0913416007614083
1,V1,0.115325940702823
1,V1,0.118450911563066
1,V1,0.0899548957202409
1,V1,0.0748253436445884
1,V1,0.110649890383787
1,V1,4.1009611932874e-05
1,V1,0.00352044882692842
1,V1,0.00228214164069468
1,V1,0.0512517397551964
1,V1,0.0593327153344581
1,V1,0.050756886732152
1,V1,0.00162315630451659
1,V1,0.0363788270621146
1,V1,0.0911147345342439
1,V1,0.117237827866313
1,V1,0.091724721819171
1,V1,0.00289881736490977
1,V1,0.00122678194138581
1,V1,0.00301076033858899
1,V1,0.00815907443946928
1,V1,0.0908029603750553
1,V1,0.0631224636654569
1,V1,0.0503737261162759
1,V1,0.112230768000548
1,V1,0.0465292864927108
1,V1,0.0361326088776285
1,V1,0.0325287760825779
1,V1,0.0141523347559978
1,V1,0.004432291146377
1,V1,0.000902659967091324
1,V1,0.0484859273854344
1,V1,0.0628489388609053
1,V1,0.0319493912871383
1,V1,0.0372007582494249
1,V1,0.0201216564073159
1,V1,0.0338076185075792
1,V1,0.0265687506966769
1,V1,0.0106054218307054
1,V1,0.0066502550245971
1,V1,0.0071594539169138
1,V1,0.0113329978765896
1,V1,0.0733615770653532
1,V1,0.048706384925668
1,V1,0.0492008522618478
1,V1,0.121252139317894
1,V1,0.079006665918755
1,V1,0.0719186743414848
1,V1,0.0304529668861023
1,V1,0.0284877307094528
1,V1,0.000427480508926603
1,V1,0.000644644709723585
1,V1,0.00067017676081893
1,V1,0.0122543002552131
1,V1,0.00496811986943224
1,V1,0.126340596924558
1,V1,0.0843351440219989
1,V1,0.0939744931637549
1,V1,0.147725612694834
1,V1,0.0268006944493849
1,V1,0.0657163073476064
1,V1,0.00489006647927143
1,V1,0.0824247976045782
1,V1,0.161486154437528
1,V1,0.0820542902214416
1,V1,0.0951455557299025
1,V1,0.0417736466729071
1,V1,0.0591037635083708
1,V1,0.0978137569375334
1,V1,0.0473749695235289
1,V1,0.233902784646831
1,V1,0.184978175550654
1,V1,0.00779078711970443
1,V1,0.0756100158855134
1,V1,0.102167466023226
1,V1,0.0159745810917649
1,V1,0.0546932782849563
1,V1,0.0499768069804221
1,V1,0.00781441785749792
1,V1,0.178076665900055
1,V1,0.10232919542784
1,V1,0.178549225655236
1,V1,0.167755983970379
1,V1,0.11125056518547
1,V1,0.0793283538450882
1,V1,0.135357162438415
1,V1,0.0703145033584846
1,V1,0.00597491448517223
1,V1,0.0282604204338578
1,V1,0.00211204002933424
1,V1,0.0573531202174491
1,V1,-0.00109444369910761
1,V1,-0.000263327047657969
1,V1,0.0362223979866095
1,V1,0.0274574479392334
1,V1,0.0596533176820488
1,V1,0.107769111311502
1,V1,0.100210364632439
1,V1,0.031019838903684
1,V1,0.116926136729707
1,V1,0.1608372207685
1,V1,-0.00089283975040455
1,V1,0.0542647366663437
1,V1,0.0184279761390032
1,V1,0.00928358371285731
1,V1,0.0690090019733752
1,V1,0.0318400143892634
1,V1,-0.00116968475697121
1,V1,0.129265525797736
1,V1,0.179645618683085
1,V1,0.160903116779466
1,V1,0.133826948964682
1,V1,0.0308876322727563
1,V1,0.133349410406811
1,V1,0.117737035028126
1,V1,0.121167047179335
1,V1,0.0489178115903688
1,V1,0.032716272452829
1,V1,0.0256204297069045
1,V1,0.00544781064893396
1,V1,0.0146872652995417
1,V1,0.0044751856848525
1,V1,-0.000845739660160882
1,V1,0.0878962510305346
1,V1,0.0620740091638983
1,V1,0.04304024185052
1,V1,0.0205185633412761
1,V1,0.0251518306517594
1,V1,0.0440381963706694
1,V1,0.0379045053132424
1,V1,0.00322475262645466
1,V1,0.0303138530090644
1,V1,0.0845752476947134
1,V1,0.0351646684524639
1,V1,0.0360290154040356
1,V1,0.040911028185063
1,V1,0.0682188862883859
1,V1,0.00145402024317381
1,V1,0.0204941134467693
1,V1,0.0113649285472121
1,V1,0.0132296871971298
1,V1,0.000822847387751069
1,V1,0.015801542532829
1,V1,0.111178480700922
1,V1,0.0821932534671139
1,V1,0.124963664153885
1,V1,0.077025468038101
1,V1,0.0888328535432091
1,V1,0.0726068148909151
1,V1,0.0440658283912306
1,V1,0.00533902364864547
1,V1,-0.000169844328767377
1,V1,0.00673705011579556
1,V1,0.169287989012904
1,V1,0.11978153190576
1,V1,0.0680617447477531
1,V1,0.0717296711560818
1,V1,0.0895117795160055
1,V1,0.00420390155839739
1,V1,0.129605784823126
1,V1,0.17645959853396
1,V1,0.0785829256389156
1,V1,0.0253608195820521
1,V1,0.0569204412434623
1,V1,0.109645436569794
1,V1,0.105674686186319
1,V1,0.19130570758807
1,V1,0.196539100808229
1,V1,0.0306067060973552
1,V1,0.0415608042943409
1,V1,0.109296660702769
1,V1,0.0924735071797296
1,V1,0.057149365049491
1,V1,0.0589485697854115
1,V1,0.0363040266710672
1,V1,0.0944448748802474
1,V1,0.0221865758014881
1,V1,0.128836714030006
1,V1,0.134827329218659
1,V1,0.0606713835741334
